
Channel      Spectral axis      Intensity
2.47000E+02      1.411125244E+03   -3.35692E-04
2.48000E+02      1.411062744E+03    1.00406E-02
2.49000E+02      1.411000244E+03    1.64495E-02
2.50000E+02      1.410937744E+03   -1.42216E-02
2.51000E+02      1.410875244E+03   -5.67643E-03
2.52000E+02      1.410812744E+03   -3.99791E-03
2.53000E+02      1.410750244E+03    1.98065E-02
2.54000E+02      1.410687744E+03    1.49236E-02
2.55000E+02      1.410625244E+03    9.43023E-03
2.56000E+02      1.410562744E+03    3.07932E-02
2.57000E+02      1.410500244E+03    9.58282E-03
2.58000E+02      1.410437744E+03   -1.16275E-02
2.59000E+02      1.410375244E+03    6.98875E-03
2.60000E+02      1.410312744E+03   -1.23905E-02
2.61000E+02      1.410250244E+03    2.56050E-02
2.62000E+02      1.410187744E+03    5.92060E-03
2.63000E+02      1.410125244E+03   -1.31535E-02
2.64000E+02      1.410062744E+03   -1.20853E-02
2.65000E+02      1.410000244E+03    1.14139E-02
2.66000E+02      1.409937744E+03   -1.25431E-02
2.67000E+02      1.409875244E+03   -4.60828E-03
2.68000E+02      1.409812744E+03    1.44658E-02
2.69000E+02      1.409750244E+03    2.37739E-02
2.70000E+02      1.409687744E+03   -9.03347E-03
2.71000E+02      1.409625244E+03   -1.33061E-02
2.72000E+02      1.409562744E+03   -6.74458E-03
2.73000E+02      1.409500244E+03    3.63171E-03
2.74000E+02      1.409437744E+03    8.97245E-03
2.75000E+02      1.409375244E+03   -9.46063E-04
2.76000E+02      1.409312744E+03    7.29393E-03
2.77000E+02      1.409250244E+03    6.53097E-03
2.78000E+02      1.409187744E+03   -5.25223E-02
2.79000E+02      1.409125244E+03   -7.66013E-03
2.80000E+02      1.409062744E+03    6.53097E-03
2.81000E+02      1.409000244E+03   -1.89520E-02
2.82000E+02      1.408937744E+03   -8.11791E-03
2.83000E+02      1.408875244E+03   -1.07120E-02
2.84000E+02      1.408812744E+03    4.39468E-03
2.85000E+02      1.408750244E+03    2.66732E-02
2.86000E+02      1.408687744E+03   -1.40690E-02
2.87000E+02      1.408625244E+03   -3.23495E-03
2.88000E+02      1.408562744E+03   -3.69273E-03
2.89000E+02      1.408500244E+03    3.63171E-03
2.90000E+02      1.408437744E+03    9.73542E-03
2.91000E+02      1.408375244E+03   -2.68868E-02
2.92000E+02      1.408312744E+03    1.23295E-02
2.93000E+02      1.408250244E+03    2.52999E-02
2.94000E+02      1.408187744E+03   -6.39668E-02
2.95000E+02      1.408125244E+03   -4.01623E-02
2.96000E+02      1.408062744E+03   -4.45875E-02
2.97000E+02      1.408000244E+03    8.81986E-03
2.98000E+02      1.407937744E+03    1.01932E-02
2.99000E+02      1.407875244E+03    1.15665E-02
3.00000E+02      1.407812744E+03    3.62865E-02
3.01000E+02      1.407750244E+03    1.38554E-02
3.02000E+02      1.407687744E+03   -4.88285E-04
3.03000E+02      1.407625244E+03    2.56050E-02
3.04000E+02      1.407562744E+03    1.73650E-02
3.05000E+02      1.407500244E+03    5.00505E-03
